r_object_id,office_type
0b02cba0829a4719,HO-DIT-ADMIN
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,
0b02cba0829a471b,HO-DIT-ADMIN
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,
0b02cba0829a471f,HO-DIT-ADMIN
0b02cba0829b7683,
0b02cba0829b7683,
0b02cba0829b7683,
0b02cba0829b7683,
0b02cba0829b7683,
