r_object_id,cgm_and_assigned_groups
0b02cba082e141cb,
0b02cba082e141cb,
0b02cba082e141cb,
0b02cba082e141cb,
0b02cba082e141cb,
0b02cba082e141cb,
0b02cba082e14379,
0b02cba082e14379,
0b02cba082e14379,
0b02cba082e14379,
0b02cba082e14379,
0b02cba082e14379,
0b02cba082e1437a,
0b02cba082e1437a,
0b02cba082e14381,
0b02cba082e14381,
0b02cba082e14381,
0b02cba082e14381,
0b02cba082e14381,
0b02cba082e14381,nb_letters_ho_dmfi_cgm
0b02cba082e15114,
0b02cba082e15114,
0b02cba082e15114,
0b02cba082e15114,nb_letters_ho_hrmd_cgm
0b02cba082e1550a,
0b02cba082e1550a,
0b02cba082e1550a,
0b02cba082e1550a,
0b02cba082e1550a,
0b02cba082e1550a,
0b02cba082e1550a,nb_vertical_head_letter_ro_gj_ro-gj-dor common
0b02cba082e1550a,nb_letters_ro_gj_cgm
0b02cba082e1550b,
0b02cba082e1550b,
0b02cba082e1550b,
0b02cba082e1550b,
0b02cba082e1550b,
0b02cba082e1550b,nb_vertical_head_letter_ro_gj_ro-gj-fsdd common
0b02cba082e1550b,nb_letters_ro_gj_cgm
0b02cba082e15941,
0b02cba082e15941,
0b02cba082e15941,
0b02cba082e15941,nb_letters_ho_hrmd_cgm
0b02cba082e15946,
0b02cba082e15946,
0b02cba082e15946,
0b02cba082e15946,
0b02cba082e15946,
0b02cba082e15946,
0b02cba082e15946,
0b02cba082e15946,
0b02cba082e15946,
0b02cba082e15946,
0b02cba082e15947,
0b02cba082e15947,
0b02cba082e15947,
0b02cba082e15947,
0b02cba082e15947,
0b02cba082e15947,
0b02cba082e15947,
0b02cba082e15947,
0b02cba082e15947,nb_vertical_head_letter_ho_dit_ho-dit-hrms
0b02cba082e15947,nb_letters_ho_dit_cgm
0b02cba082e15948,
0b02cba082e15948,
0b02cba082e15948,
0b02cba082e15948,
0b02cba082e15948,
0b02cba082e15948,
0b02cba082e15948,
0b02cba082e15948,
0b02cba082e15948,
0b02cba082e15948,nb_letters_ho_hrmd_cgm
0b02cba082e15949,
0b02cba082e15949,
0b02cba082e15949,
0b02cba082e15949,
0b02cba082e15949,
0b02cba082e15949,
0b02cba082e15949,
0b02cba082e15949,
0b02cba082e15949,nb_vertical_head_letter_ro_an_ro-an-cpd common
0b02cba082e15949,nb_letters_ro_an_cgm
0b02cba082e15d78,
0b02cba082e15d78,
0b02cba082e15d78,
0b02cba082e15d78,
0b02cba082e15d78,
0b02cba082e15d78,
0b02cba082e15d78,
0b02cba082e15d78,nb_letters_ro_or_cgm
0b02cba082e16524,
0b02cba082e16524,
0b02cba082e16524,
0b02cba082e16524,
0b02cba082e16524,
0b02cba082e16524,
0b02cba082e16524,
0b02cba082e1692b,
0b02cba082e1692b,
0b02cba082e1692b,
0b02cba082e1692b,
0b02cba082e1692b,
0b02cba082e1692b,
0b02cba082e1692b,
0b02cba082e1692b,nb_letters_ro_or_cgm
0b02cba082e16b37,
0b02cba082e16b37,
0b02cba082e16b37,
0b02cba082e16b37,
0b02cba082e16b37,
0b02cba082e16b37,
0b02cba082e16b37,
0b02cba082e16b37,
0b02cba082e16b37,nb_vertical_head_letter_ro_ad_ro-ad-hrmd common
0b02cba082e16b37,nb_letters_ro_ad_cgm
0b02cba082e16b38,
0b02cba082e16b38,
0b02cba082e16b38,
0b02cba082e16b38,
0b02cba082e16b38,
0b02cba082e16b38,
0b02cba082e16b38,
0b02cba082e16b38,
0b02cba082e16b38,
0b02cba082e16b38,nb_letters_ro_ar_cgm
0b02cba082e16b39,
0b02cba082e16b39,
0b02cba082e16b39,
0b02cba082e16b39,
0b02cba082e16b39,
0b02cba082e16b39,
0b02cba082e16b39,
0b02cba082e16b39,
0b02cba082e16b39,nb_vertical_head_letter_ro_as_ro-as-dpsp common
0b02cba082e16b39,nb_letters_ro_as_cgm
0b02cba082e16b3a,
0b02cba082e16b3a,
0b02cba082e16b3a,
0b02cba082e16b3a,
